Nota1,Nota2,Nota3,Nota4,Nota5,Nota6
18,18,12,11
19,15,16,14
14,10,8,8
16,10,10,11
14,14,2,5
13,7,11,9
19,15,12,16
15,16,2,6
17,17,16,20
20,14,14,13
17,13,13,13
15,12,7,13
17,15,18,20
11,7,11,9
16,13,15,19
16,13,16,18
18,16,15,18
17,12,15,17
13,10,8,10
15,10,8,12
14,10,8,13
18,12,12,12
11,7,13,13
16,12,14,19
19,17,11,14
16,11,13,12
17,12,11,14
17,17,4,9
16,13,16,18
19,14,13,11
18,14,15,18
16,14,3,7
20,16,16,17
16,12,13,12
10,9,10,15
14,13,14,18
17,18,17,19
14,13,11,13
15,13,7,8
18,15,13,17
18,17,9,11
10,10,0,3
19,14,13,13
12,5,5,9
19,16,13,18
20,18,16,19
19,17,12,12
19,16,14,16
15,12,14,11
17,18,17,19
