Nota1,Nota2,Nota3,Nota4,Nota5,Nota6
17,13,11,14
15,11,8,11
16,11,10,13
16,11,14,13
14,12,9,14
10,8,11,15
20,19,14,15
16,11,16,18
12,9,13,15
15,11,15,18
17,14,11,14
15,11,9,13
18,14,13,13
18,11,13,11
19,17,15,19
20,16,15,15
15,13,10,14
16,9,9,13
17,15,17,19
18,18,5,8
16,11,9,13
11,10,10,7
20,15,11,14
15,12,10,12
15,13,10,13
19,14,13,18
17,11,10,12
14,10,6,10
16,13,7,11
16,9,8,12
15,16,1,5
17,13,10,15
11,10,3,4
13,13,16,17
16,9,8,13
13,13,15,17
17,19,14,16
15,15,1,5
19,15,13,18
20,17,16,20
17,14,16,17
19,16,10,14
18,12,13,12
12,10,3,1
15,16,3,7
18,14,18,19
16,11,17,19
14,11,15,18
20,20,14,15
16,18,11,13
