Nota1,Nota2,Nota3,Nota4,Nota5,Nota6
17,20,13,16
17,12,11,14
14,14,14,18
17,10,13,13
18,14,18,20
16,18,12,13
15,9,7,13
18,17,10,14
13,7,10,13
18,16,11,12
18,14,13,16
19,14,13,13
19,16,13,15
15,10,15,17
20,16,15,15
12,10,1,4
15,14,0,6
14,15,3,6
15,9,8,12
17,17,5,8
20,18,17,20
18,17,5,9
13,8,10,16
19,12,14,12
19,15,14,16
14,10,8,12
20,14,14,12
15,10,8,13
14,12,13,17
19,17,16,18
17,14,14,13
13,14,1,4
14,10,13,13
15,11,7,13
18,13,11,14
17,13,11,15
19,18,11,14
13,7,11,16
15,15,7,9
18,14,15,15
15,14,14,19
14,8,6,10
17,16,15,16
19,12,12,14
19,20,14,16
15,16,3,6
16,14,1,8
16,15,9,11
19,14,15,14
17,15,18,19
