Nota1,Nota2,Nota3,Nota4,Nota5,Nota6
17,14,18,19
17,12,10,14
19,15,15,14
18,17,5,9
16,10,9,12
14,11,14,18
16,11,16,18
13,14,3,6
15,11,15,12
19,17,10,12
19,14,12,13
17,14,18,20
18,17,16,19
13,9,6,13
14,9,7,11
16,11,14,17
13,11,9,10
18,19,10,13
12,7,8,8
20,17,16,16
15,16,3,5
20,14,13,13
16,13,0,4
17,16,15,16
16,13,1,7
17,18,5,9
14,10,9,10
17,18,17,19
16,15,1,8
11,11,1,3
19,14,11,13
17,17,4,9
15,14,15,12
13,8,10,14
19,15,15,15
15,17,4,5
18,12,10,14
13,10,8,11
17,14,17,19
19,14,12,14
17,16,1,7
11,13,1,3
13,8,12,13
15,16,3,5
16,13,3,5
18,15,17,17
17,17,4,9
14,15,2,5
15,13,14,19
19,17,13,15
