Nota1,Nota2,Nota3,Nota4,Nota5,Nota6
16,17,9,11
19,14,15,15
13,9,9,7
19,16,12,14
17,16,12,12
17,13,14,11
12,7,6,7
19,16,15,16
16,16,2,7
15,13,6,9
20,15,15,16
14,13,16,17
14,11,15,19
19,20,14,15
20,17,16,19
17,18,5,8
16,11,13,11
15,10,10,11
16,13,16,17
18,17,16,19
15,12,16,18
13,13,7,8
15,12,12,14
14,11,16,17
17,15,13,17
15,17,4,6
14,11,9,14
20,15,13,13
13,11,8,8
16,13,12,12
15,13,14,12
12,8,8,9
16,12,10,13
18,19,11,13
17,12,14,14
16,14,1,6
17,9,7,13
14,11,14,10
17,12,12,11
15,9,8,8
