alumno,PERIODO,COD CURSO,NOMBRE CURSO,SECCION,SESION-GRUPO,TIPO NOTA,NUM NOTA,PUNTAJE,PROMEDIO FINAL
71,2019 - 1,GH1001,Arte y Tecnología,1,Laboratorio 1.00,PROMEDIO,0,3,3
71,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,0,3
71,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,5,3
71,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,0,3
71,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,8,3
61,2019 - 1,GH1001,Arte y Tecnología,1,Laboratorio 1.00,PROMEDIO,0,2,2
61,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,0,2
61,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,0,2
61,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,8,2
61,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,0,2
242,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,16,16
242,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,19,16
242,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,14,16
242,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,15,16
242,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,14,16
84,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,12,12
84,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,12,12
84,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,14,12
84,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,16,12
84,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,8,12
