Nota1,Nota2,Nota3,Nota4,Nota5,Nota6
18,15,12,15
19,17,13,19
15,9,7,9
19,14,11,11
12,10,8,8
15,13,13,10
10,10,1,3
19,16,13,16
20,20,14,16
16,11,8,11
13,8,12,15
18,16,12,12
15,12,15,18
14,13,1,6
11,8,10,10
14,15,2,6
15,10,15,19
20,20,14,16
20,16,15,16
16,16,2,8
20,18,17,20
18,12,10,15
17,16,13,18
19,13,14,17
17,13,11,14
14,13,15,19
20,14,15,19
17,13,12,15
15,15,1,7
17,15,12,17
17,13,13,13
13,13,7,9
16,13,14,16
15,14,2,6
17,15,17,20
14,15,1,7
18,17,10,13
15,12,7,12
19,16,10,13
15,11,7,8
13,12,16,16
14,11,8,12
18,11,14,13
17,17,3,5
14,12,14,11
18,14,17,20
10,12,0,2
19,16,9,12
19,14,13,18
16,13,15,19
