Nota1,Nota2,Nota3,Nota4,Nota5,Nota6
14,10,11,10
19,16,12,14
10,12,1,4
16,14,13,13
18,18,4,8
17,19,13,15
17,16,15,15
14,10,16,18
18,15,17,17
14,14,15,17
16,11,7,11
14,11,16,19
14,7,8,8
15,16,2,8
20,20,14,15
16,11,15,20
17,12,10,15
12,10,8,8
18,13,11,14
16,14,4,5
18,12,13,14
13,9,9,13
20,17,17,19
17,12,11,15
16,10,11,13
18,15,15,15
14,10,12,12
16,9,7,10
12,10,11,10
17,14,17,20
15,12,12,12
14,14,1,7
15,11,9,10
17,11,11,12
14,12,14,19
14,9,9,11
16,13,13,12
15,11,16,17
14,14,2,6
16,10,6,10
