Nota1,Nota2,Nota3,Nota4,Nota5,Nota6
14,13,15,18
15,13,9,8
18,17,12,12
12,11,3,1
13,8,9,10
16,11,8,10
17,15,18,20
20,15,13,12
14,11,16,18
11,13,1,4
17,18,10,15
13,12,8,10
16,11,14,11
10,9,10,14
12,5,3,7
18,14,17,17
11,9,12,16
18,16,15,16
14,13,15,18
16,11,7,11
18,15,12,15
18,15,18,20
16,11,12,13
16,9,8,12
11,6,3,7
15,12,16,18
16,15,8,11
17,16,13,18
17,18,5,9
14,11,15,19
14,9,6,12
16,14,14,12
19,14,13,13
17,16,14,15
17,14,12,12
13,8,13,14
19,20,13,16
17,14,13,12
15,11,13,13
17,13,15,15
12,11,0,3
18,16,14,16
19,18,12,13
16,13,12,11
16,17,3,6
14,10,10,13
14,15,6,10
18,14,12,18
18,15,15,14
16,12,11,13
