Nota1,Nota2,Nota3,Nota4,Nota5,Nota6
18,15,14,18
12,10,0,4
20,16,15,15
17,13,15,18
17,19,14,15
16,11,12,13
19,14,11,14
17,13,13,14
18,18,12,12
16,15,3,4
16,14,1,5
17,14,15,16
15,14,13,11
20,17,16,20
20,19,13,14
17,9,10,12
15,10,9,14
13,11,9,14
17,12,12,13
18,16,10,15
19,14,13,15
14,10,8,10
18,14,16,14
14,15,2,5
13,10,2,4
14,12,7,12
17,15,13,18
15,12,12,11
18,20,14,15
16,14,14,17
16,10,7,13
17,14,13,13
20,13,13,12
16,12,13,11
14,10,7,12
19,14,16,15
18,12,11,15
14,14,3,6
20,18,17,20
16,16,1,7
18,19,11,14
16,12,13,13
16,17,1,5
11,10,10,10
19,20,13,16
15,12,11,13
20,17,17,20
13,10,10,11
17,14,13,14
19,14,11,14
